project_entity_id,funding_round_id,participation_id,Project name,Link,Round,Season,Status,Region,Project type,Domain,Function,Category,Problem type,Solution type,Target user,Tags,What are you making,Impact,Progress,Why you,raw_text,Summary (AI),DeSci alignment,Evidence level,Narrative clarity,Risk flag,Fundability score,Impact score,Execution score,raised_amount_usd,requested_amount_usd,matching_amount_usd,donor_count,vote_count,funding_rank,GitHub path,Obsidian path,Created,Last edited
DSPJ-0021,FR-ART-S6,DSPT-00021,CCGF,https://artizen.fund/index/p/ccgfmegapi?season=6,Spark DeSci,Season 6,,,Funding Mechanism,Governance / DAO,"Automation, Coordination, Funding",,,,,,Autonomous funding system,Fund science,Test rounds,Web3 scientists,"[WHAT]
We are making a system that funds science autonomously and continuously.

It should become a web3 hyperstructure. A thing that eventually will 

[IMPACT]
Once succeeded the system will autonomously, without human intervention pour tons of funds into science.

Science made our life better -> it'll make the life of all the humanity better

[PROGRESS]
Under HyperDeSci we:
1. Run two QF rounds in mid 2024
2. Run a round on artizen for season 4
3. Minted a governance token & commiunity to test Conviction voting on Gardens.fund
4. Minted a coin to test StreamingQF on flowstate

[WHY]
We are a team of  web3 native scientists passionate about open and accessible science.",,,,,,,,,,,,,,,,,2026/5/10,2026/5/10
DSPJ-0022,FR-ART-S6,DSPT-00022,Greenpill Uganda,https://artizen.fund/index/p/greenpill-uganda?season=6,Spark DeSci,Season 6,,,Community,Agriculture,"Community Building, Funding, Regeneration",,,,,,Regenerative farming system,Reduce poverty,Pilot farmers,Local + web3,"[WHAT]
We're building a system that pays farmers to take care of the land. When farmers grow food in ways that make the soil healthier & help plants and animals thrive, they get money sent directly to their phones. It's like getting paid to be a good garden

[IMPACT]
Our project lifts farming families out of extreme poverty by providing steady income while they restore degraded land. Healthier soil means more food, cleaner water, & trees that fight climate change. As farmers prosper, entire rural communities gain

[PROGRESS]
We've established partnerships with local farming cooperatives & begun onboarding our first cohort of regenerative farmers into the program. Our team has developed the initial Web3 payment infrastructure & created training materials in local language

[WHY]
I deeply understand both the agricultural realities facing Ugandan farming communities and the transformative potential of Web3 technology. With roots in rural Uganda and experience in blockchain solutions, I bridge two worlds that rarely connect.",,,,,,,,,,,,,,,,,2026/5/10,2026/5/10
DSPJ-0023,FR-ART-S6,DSPT-00023,Neurodevelop,https://artizen.fund/index/p/neurodevelop-neuromodulation-for-everyone?season=6,Spark DeSci,Season 6,,,Product,Biotech / Health,"Experimentation, Treatment",,,,,,Neuromodulation device,Treat diseases,Prototype,Biomedical engineer,"[WHAT]
Imagine using electrical signals to trick your brain into treating pain or urinary incontinence with a device the size of your cell phone. We are researching, designing, and building smart neuromodulation devices that can treat various diseases.

[IMPACT]
We are advancing the development of neurostimulation devices that use electrical signals at different frequencies to provide an alternative, noninvasive treatment option for neurological diseases that do not respond to existing therapies.

[PROGRESS]
In order to conduct this research, we designed and developed the first version of Neurodevelop, a cell phone-sized device that uses inexpensive electronic components and can be programmed to produce various signals at different frequencies.

[WHY]
I am a Mexican engineer dedicated to conducting research and providing solutions in the biomedical field for diseases that cannot be treated conventionally. We use neuromodulation as a safe, low-cost alternative for treating neurological diseases.",,,,,,,,,,,,,,,,,2026/5/10,2026/5/10
DSPJ-0024,FR-ART-S6,DSPT-00024,Feynman WTF,https://artizen.fund/index/p/feynman-wtf?season=6,Spark DeSci,Season 6,,,Product,AI / Data,"Discovery, Knowledge Sharing",,,,,,Research summary app,Knowledge access,App live,Builder,"[WHAT]
Feynman is a mobile app that summarizes research papers into 60-word cards and lets you scroll through them in a social-feed style to explore what’s new.

[IMPACT]
Feynman saves researchers hours, turns brainrot scrolling into productive discovery, and makes science accessible while spreading knowledge faster worldwide.

[PROGRESS]
We’ve built and launched Feynman with key features: swipe to discover research papers, chat with AI, bookmark and save for later, and explore by category. The app is fully live on the App Store and currently awaiting review on Google Play Store.

[WHY]
I’m a researcher and builder who knows the pain of endless papers. Having built AI products and consumer apps, I bring the domain insight and execution needed to create and scale Feynman for the community.",,,,,,,,,,,,,,,,,2026/5/10,2026/5/10
DSPJ-0025,FR-ART-S6,DSPT-00025,Youth Digital Skills,https://artizen.fund/index/p/empowering-youth-through-digital-skills--innovation?season=6,Spark DeSci,Season 6,,,Education,Education,"Education, Training",,,,,,Digital training,Employment,150+ trained,Educators,"[WHAT]
We are building a scalable digital training program that equips youth with essential ICT skills, freelancing expertise, and business acumen to help them secure employment or start their own ventures.

[IMPACT]
By providing accessible digital education, we are bridging the skills gap and creating employment opportunities for youth. This initiative contributes to economic growth, reduces unemployment, and promotes technological inclusion.

[PROGRESS]
Successfully trained 150+ freelancers through 10+ online batches. Conducted 6+ offline batches of ‘Skills Sprint’ basic computer training, empowering over 120+ students per batch. Achieved recognition in multiple regional and national competitions.

[WHY]
Our leadership team has a proven track record of empowering youth through skill development. With industry expertise, strong mentorship networks, and local community engagement, we are uniquely positioned to scale this project.",,,,,,,,,,,,,,,,,2026/5/10,2026/5/10
DSPJ-0026,FR-ART-S6,DSPT-00026,American Season,https://artizen.fund/index/p/american-season?season=6,Spark DeSci,Season 6,,,Media / Narrative,Social / Community,Storytelling,,,,,,Participatory film,Social awareness,Filming,Storyteller,"[WHAT]
A quiet, participatory film and living archive of parents who lost children to school violence. Seasonal chapters turn homes into memorials, creating a care-based, immersive, community-led experience across film, public space, and digital platforms.

[IMPACT]
American Season responds to the growing crisis of school shootings and political division. The film focuses on bereaved parents, shifting the conversation from blame to possibility and urging us to listen with empathy.

[PROGRESS]
Filmed one of the parents, recorded all the rest

[WHY]
My understanding of grief is shaped by my father's work with bereaved parents. These experiences taught me that grief changes families and that presence matters more than words. Becoming a father made this realization more urgent.",,,,,,,,,,,,,,,,,2026/5/10,2026/5/10
DSPJ-0027,FR-ART-S6,DSPT-00027,Spark DeSci,https://artizen.fund/index/p/desci-gitcoin-group?season=6,Spark DeSci,Season 6,,,Funding Mechanism,Governance / DAO,"Coordination, Funding",,,,,,Funding round infra,Support ecosystem,Multiple rounds,Experienced team,"[WHAT]
We are organizing a DeSci community round to reward contributors, support new scientific projects, and secure funding to grow decentralized, open, and inclusive research ecosystems through Gitcoin’s quadratic funding model.

[IMPACT]
By funding open scientific research, we empower innovators, transform communities through knowledge, and build a more inclusive, decentralized ecosystem for global collaboration and sustainable scientific advancement.

[PROGRESS]
The Gitcoin DeSci Round has successfully hosted multiple rounds, starting with GG15, funding 225+ projects. Spark is the new sub team to explore different funding opportunities outside Gitcoin.

[WHY]
We unites experienced operators, stewards, and builders who have led successful rounds since GG15, coordinating funding, empowering projects, and expanding DeSci ecosystem.",,,,,,,,,,,,,,,,,2026/5/10,2026/5/10
DSPJ-0028,FR-ART-S6,DSPT-00028,LORS,https://artizen.fund/index/p/lunar-open-sourced-rover-standard?season=6,Spark DeSci,Season 6,,,Infrastructure,Space / Physics,"Coordination, Standardization",,,,,,Lunar rover standard,Open space ecosystem,Roadmap,Expert team,"[WHAT]
Imagine if every toy car was built differently so you couldn't swap wheels or batteries. We're making a rulebook for lunar rovers so everyone builds them compatibly. This democratizes access, letting more people build and send robots to the Moon.

[IMPACT]
LORS lower the barrier to entry for developing nations, startups and universities. This fosters a sustainable, collaborative lunar economy where rovers can repair each other, share data, and work together, accelerating scientific progress.

[PROGRESS]
We have a core expert team, a 60-day roadmap, which includes delivering a Standards Landscape Report, an Ecosystem Mapping Document, and a Phase 2 Roadmap. We identified key OSS components that will form the backbone of our standard.

[WHY]
Our team is uniquely qualified, combining deep technical knowledge with strategic oversight. We are baked by MoonDAO and have a clear, actionable plan to deliver tangible specifications and build a global community of contributors.",,,,,,,,,,,,,,,,,2026/5/10,2026/5/10
DSPJ-0029,FR-ART-S6,DSPT-00029,DeSci Asia,https://artizen.fund/index/p/desci-asia?season=6,Spark DeSci,Season 6,,,Community,Education,"Community Building, Education",,,,,,Asia DeSci community,Grow ecosystem,30+ events,Operator,"[WHAT]
DeSci Asia has grown to 400 members and organized 24 events for China, Singapore, Indonesia, Thailand and other Asia DeSci projects & communities since Oct 2023.

We also provide funding for Asia local DeSci IRL meeting.

[IMPACT]
The target audience includes projects, communities, researchers, scientists, and enthusiasts in Asia interested in decentralized science and its applications.

We grow a DeSci community for Asia, hosted educational events across Asian cities.

[PROGRESS]
400 members from 9 Asian cities, 30 DeSci events since 2023, translation work and ecosystem education contributions.

[WHY]
I grew up in Asia, with over 10 years working experience in scientific industry and active participation in Gitcoin DeSci rounds.",,,,,,,,,,,,,,,,,2026/5/10,2026/5/10
DSPJ-0030,FR-ART-S6,DSPT-00030,Overlake Bio,https://artizen.fund/index/p/overlake--bio?season=6,Spark DeSci,Season 6,,,,,,,,,,,Space biology AI,Astronaut health,Prototype,PhD,"[WHAT]
We're creating an AI-powered, open-source database on astronaut health to identify targets and interventions, informed by genomics and structural biology, that will enhance humanity’s capacity for off-world survival.

[IMPACT]
Structured and open-sourced information on tweaking human physiology to withstand the rigors of space would be accessible and reproducible by researchers worldwide.

[PROGRESS]
Published academic work and running prototype locally. Raising funds for rollout.

[WHY]
PhD biotech researcher with 15+ years experience and active DeSci founder.",,,,,,,,,,,,,,,,,2026/5/10,2026/5/10
DSPJ-0031,FR-ART-S6,DSPT-00031,ToGather,https://artizen.fund/index/p/togather-project-documenting-living-systems?season=6,Spark DeSci,Season 6,,,Platform,Social / Community,"Data Collection, Knowledge Sharing",,,,,,Community data platform,Collective intelligence,Data model,15y experience,"[WHAT]
I am making a platform for people who build communities. We map the invisible architecture of belonging through regenerative ethnography. Our AI hivemind transforms field notes into a digital heart.

[IMPACT]
Provides a roadmap for collective resilience and archives communal knowledge.

[PROGRESS]
Field research and transformation into live data model underway.

[WHY]
15+ years documenting communities and building collective systems.",,,,,,,,,,,,,,,,,2026/5/10,2026/5/10
DSPJ-0032,FR-ART-S6,DSPT-00032,Sharkwatch Cozumel,https://artizen.fund/index/p/sharkwatch-cozumel?season=6,Spark DeSci,Season 6,,,Community,Ocean / Marine,"Community Building, Education",,,,,,Shark conservation,Biodiversity,Research + outreach,Marine biologist,"[WHAT]
I’m leading a community-driven project to protect sharks in the Mesoamerican Reef, combining local knowledge from fishers and divers with grassroots education to inspire ocean stewardship.

[IMPACT]
We’re regenerating reef ecosystems while empowering local communities through science, storytelling, and education.

[PROGRESS]
Mapped shark habitats, launched education programs, published research, reached 100,000+ people.

[WHY]
Marine biologist with deep local roots and experience integrating science and community.",,,,,,,,,,,,,,,,,2026/5/10,2026/5/10
DSPJ-0033,FR-ART-S6,DSPT-00033,InfiniteZero,https://artizen.fund/index/p/infinitezero-network?season=6,Spark DeSci,Season 6,,,Infrastructure,AI / Data,"Data Infrastructure, Training",,,,,,Decentralized AI training,Public AI,Devnet,PhD team,"[WHAT]
We're building a way for millions of devices to train AI together without data leaving the device.

[IMPACT]
Transforms AI into public infrastructure owned collectively.

[PROGRESS]
Devnet launching, validator nodes active globally.

[WHY]
PhD team across global institutions with strong research backing.",,,,,,,,,,,,,,,,,2026/5/10,2026/5/10
DSPJ-0034,FR-ART-S6,DSPT-00034,Mental Wealth Academy,https://artizen.fund/index/p/mental-wealth-academy?season=6,Spark DeSci,Season 6,,,Platform,AI / Data,"Automation, Coordination",,,,,,AI DAO education platform,Better communities,Built product,Psych + tech,"[WHAT]
Next Gen Educational Tech platform enabling communities to operate with AI agents and DAO frameworks.

[IMPACT]
Creates advanced DAO tools and AI copilots for community governance and engagement.

[PROGRESS]
Fully built product with audited contracts and deployed features.

[WHY]
Background in psychology and deep understanding of digital culture.",,,,,,,,,,,,,,,,,2026/5/10,2026/5/10
DSPJ-0035,FR-ART-S6,DSPT-00035,DIY Particle Accelerator,https://artizen.fund/index/p/diy-nuclear-physics-particle-accelerator?season=6,Spark DeSci,Season 6,,,Experimental / Speculative,Space / Physics,Experimentation,,,,,,Cheap accelerator,Science access,Prototype,Engineer,"[WHAT]
Remaking a betatron accelerator and making it affordable and open source.

[IMPACT]
Lower barrier to nuclear physics and potential low-cost cancer treatment.

[PROGRESS]
Power source and test systems operational.

[WHY]
Experience in nuclear projects and engineering systems.",,,,,,,,,,,,,,,,,2026/5/10,2026/5/10
DSPJ-0036,FR-ART-S6,DSPT-00036,Expanse Bio,https://artizen.fund/index/p/expansebio?season=6,Spark DeSci,Season 6,,,,,,,,,,,Space bio platform,Medicine discovery,Whitepaper,Researcher,"[WHAT]
We are building a simple online place where people can learn about space biology, share ideas, and use AI tools.

[IMPACT]
Accelerates discovery of medicines and improves global health.

[PROGRESS]
Whitepaper drafted, community growing, tools in development.

[WHY]
10 years in DeSci and multiple grants from ESA.",,,,,,,,,,,,,,,,,2026/5/10,2026/5/10
DSPJ-0037,FR-ART-S6,DSPT-00037,Mortech Regen Hub,https://artizen.fund/index/p/mortech-regen-hub?season=6,Spark DeSci,Season 6,,,Platform,Art / Culture,"Community Building, Marketplace",,,,,,Regen hub Nairobi,Local economy,Construction,Community builder,"[WHAT]
An IRL phygital regenerative tech hub in Nairobi with NFTs, governance, AR/VR and marketplace.

[IMPACT]
Supports local economy and bypasses extractive intermediaries.

[PROGRESS]
Physical space identified and under construction.

[WHY]
Focused on empowering African creators and communities.",,,,,,,,,,,,,,,,,2026/5/10,2026/5/10
DSPJ-0038,FR-ART-S6,DSPT-00038,OneHealth,https://artizen.fund/index/p/one?season=6,Spark DeSci,Season 6,,,Product,Biotech / Health,"Data Storage, Identity",,,,,,Health identity,Better care,Design ready,System thinker,"[WHAT]
Health identity system allowing patients to carry medical history.

[IMPACT]
Improves healthcare efficiency and saves lives.

[PROGRESS]
System design completed and preparing pilots.

[WHY]
Focus on real-world infrastructure and healthcare systems.",,,,,,,,,,,,,,,,,2026/5/10,2026/5/10
DSPJ-0039,FR-ART-S6,DSPT-00039,Kind Design,https://artizen.fund/index/p/kind-design?season=6,Spark DeSci,Season 6,,,Research,Biotech / Health,Research Generation,,,,,,Healthcare system research,Human care,Concept,Doctor,"[WHAT]
Study of health systems to design more human-centered care.

[IMPACT]
Improves dignity, trust, and patient experience.

[PROGRESS]
Concept developed and research planning underway.

[WHY]
10+ years in medicine, psychotherapy, and policy.",,,,,,,,,,,,,,,,,2026/5/10,2026/5/10
DSPJ-0040,FR-ART-S6,DSPT-00040,DeSci Reviews,https://artizen.fund/index/p/the-desci-journals?season=6,Spark DeSci,Season 6,,,Platform,Governance / DAO,"Funding, Publishing",,,,,,Publishing platform,Fix science publishing,Live v6,40y experience,"[WHAT]
Decentralized scientific publishing platform turning research into composable assets.

[IMPACT]
Challenges traditional publishing oligopoly.

[PROGRESS]
MVP tested, partnerships secured, platform live.

[WHY]
40 years experience in science and decentralization.",,,,,,,,,,,,,,,,,2026/5/10,2026/5/10
DSPJ-0041,FR-ART-S6,DSPT-00041,GreenSci,https://artizen.fund/index/p/greensci,Spark DeSci,Season 6,,,Funding Mechanism,Environment / Climate,Funding,,,,,,Local DeSci funding,Grassroots impact,9 projects,Lead,"[WHAT]
10 local real grassroot projects are norminated by 10 different greenpill local chapters to join GreenSci for further developments

[IMPACT]
solving local challenges (health, environment, education) through decentralized science and environmental protection

[PROGRESS]
9 norminated grassroot projects are passed the greenpill network community conviction voting. we will move on the 2nd stage to seek for small funding to each project for a real impact or achievement

[WHY]
I am the GreenSci project lead",,,,,,,,,,,,,,,,,2026/5/10,2026/5/10
DSPJ-0042,FR-ART-S6,DSPT-00042,PrivexaAI,https://artizen.fund/index/p/privexaai,Spark DeSci,Season 6,,,Product,Biotech / Health,"Data Ownership, Marketplace",,,,,,Health data wallet,Data ownership,App live,Pharmacy + crypto,"[WHAT]
Secure health data wallet allowing users to monetize anonymized data.

[IMPACT]
Returns data ownership to individuals.

[PROGRESS]
Functional app with early users.

[WHY]
Background in pharmacy and blockchain.",,,,,,,,,,,,,,,,,2026/5/10,2026/5/10
DSPJ-0043,FR-ART-S6,DSPT-00043,Regen Reef Fish,https://artizen.fund/index/p/regen-reef-fish-thriveness,Spark DeSci,Season 6,,,,,,,,,,,Fish restoration,Reef ecosystem,Research,Experts,"[WHAT]
Coral reef fish restoration using biotech and blockchain.

[IMPACT]
Improves reef ecosystems and biodiversity.

[PROGRESS]
Research published and prototypes ongoing.

[WHY]
Expertise in coral reef science and DeSci.",,,,,,,,,,,,,,,,,2026/5/10,2026/5/10
DSPJ-0044,FR-ART-S6,DSPT-00044,Africa Research Base,https://artizen.fund/index/p/africa-research-base,Spark DeSci,Season 6,,,Infrastructure,AI / Data,"Data Collection, Marketplace",,,,,,Data infra Africa,Better research,Hackathon win,Researcher,"[WHAT]
Shared data infrastructure for African research with token incentives.

[IMPACT]
Improves representation and research quality.

[PROGRESS]
Hackathon success, token launched, contributors onboarded.

[WHY]
Biomedical engineering student addressing real data gaps.",,,,,,,,,,,,,,,,,2026/5/10,2026/5/10
DSPJ-0045,FR-ART-S6,DSPT-00045,Asterisk Women Health,https://artizen.fund/index/p/asterisk-womens-health,Spark DeSci,Season 6,,,Media / Narrative,Biotech / Health,"Advocacy, Publishing",,,,,,Women health data,Close data gap,Viral + grants,Founder,"[WHAT]
We are curating a women's non-reproductive health publication that advises women on their health journey, creates a data-rich clinican guide for female-biased disease states, and advocates to slam shut the health gap.

[IMPACT]
By closing the gender data gap (and the Global North/South research gap), women will experience better health. This reduces workload for medicine, increases the economy (approx. 300M in UK alone), and provides acceleration for all medicine overall.

[PROGRESS]
Went viral on TikTok; over 1,000 subscribers; won two hackathons; received four GitCoin grants; received one ecosystem grant; published whitepaper.

[WHY]
I'm a serial social impact entrepreneur with an exit in tech; I'm also Editor-in-Chief at Anodyne Magazine. I've made it my business to use the written word to generate change in health equity worldwide.",,,,,,,,,,,,,,,,,2026/5/10,2026/5/10
DSPJ-0046,FR-ART-S6,DSPT-00046,Plague Hunt,https://artizen.fund/index/p/plague-hunt,Spark DeSci,Season 6,,,Product,Environment / Climate,"Citizen Science, Data Collection",,,,,,Tree monitoring app,Urban ecology,Prototype,Biologist,"[WHAT]
It’s a game-like app where anyone can learn about the trees in their city, help keep them healthy, and work with scientists to find and report pests.

[IMPACT]
Anyone will be able to help care for trees by reporting problems they see in the streets. People will learn about pests and how they affect urban forests. With education, web3, and citizen science, we can protect tree diversity and improve city ecosy

[PROGRESS]
We already have the full app architecture, a functional demo, a group of expert academic validators, a botanical garden joining the launch, and initial sampling of infection hotspots. We have also defined our milestones.

[WHY]
I’ve spent three years promoting open knowledge in DeSci. I’m a biologist who is passionate about bringing science closer to people and protecting the biodiversity of public spaces that provide essential ecosystem services. That’s why I want to build",,,,,,,,,,,,,,,,,2026/5/10,2026/5/10
DSPJ-0047,FR-ART-S6,DSPT-00047,DeSci Mexico,https://artizen.fund/index/p/desci-mxico,Spark DeSci,Season 6,,,Community,Education,"Community Building, Education",,,,,,Community + education,Research access,300+ members,Organizer,"[WHAT]
A community that uses web3 and DeSci tools to support more students and researchers in pursuing their lines of research without obstacles and create education programs to have more scientists.

[IMPACT]
We operate at the intersection of science, Web3 infrastructure, and public universities, giving researchers and students practical tools to create verifiable, open, and fundable research.

[PROGRESS]
We have built a nationwide DeSci community, onboarded 300+ students and researchers, partnered with BUAP for an educational program, led workshops and conferences, supported ETH Cinco de Mayo, and incubated Plague Hunt as our first native project

[WHY]
I combine my background in biology with hands-on experience building DeSci communities, incubating scientific Web3 projects, and teaching researchers how to use decentralized tools. I have led national workshops and university programs.",,,,,,,,,,,,,,,,,2026/5/10,2026/5/10
DSPJ-0048,FR-ART-S6,DSPT-00048,DeSci Survey,https://artizen.fund/index/p/desci-ecosystem-survey,Spark DeSci,Season 6,,,Research,Social / Community,"Analysis, Data Collection",,,,,,Ecosystem survey,Better funding insights,Articles,Researcher,"[WHAT]
I'm funding a community event for DeSci project leads to do community outreach and using the event survey results to generate a report on current DeSci ecosystem needs for growth and publishing it in open-access on Paragraph.

[IMPACT]
My project will generate knowledge to inform grant funding agencies what the people need to (1) onboard new participants and (2) gain valuable skills and experiences to participate in the DeSci ecosystem in a meaningful way.

[PROGRESS]
I have published 4 articles on Paragraph (https://paragraph.com/@bitcoinuniversity) and have 2 more lined up. Here's a post on the currect platform growth progress (https://x.com/wAliceChen/status/1999137102127063372).

[WHY]
I already created the budget breakdown (https://tinyurl.com/meet-desci-in-asia), designed the surveys, and connected with DeSci's founders.",,,,,,,,,,,,,,,,,2026/5/10,2026/5/10
DSPJ-0049,FR-ART-S6,DSPT-00049,FunDeSci,https://artizen.fund/index/p/fundesci-a-multi-chain-crowdfuing-platfrom-for-desci,Spark DeSci,Season 6,,,Platform,Governance / DAO,"Funding, Marketplace",,,,,,NFT funding platform,Democratize funding,Beta,Team,"[WHAT]
FunDeSci is building a decentralized NFT marketplace and NFT- Fundraising where researchers can tokenize proposals and research assets, to attract funding and trade outputs, making science more accessible, fundable, and community-driven.

[IMPACT]
FunDeSci will democratize access to scientific research funding, empowering researchers worldwide, especially those in underfunded or marginalized regions to pursue innovative ideas without relying on traditional gatekeepers

[PROGRESS]
Beta Version, Currently, FunDeSci supports four leading blockchain networks, Ethereum, Polygon, Arbitrum, Binance, and Optimism for two fundraising methods, including Crowdfunding and Auction. We have strong collaboration with DeSci Asia, Hippocrat

[WHY]
We directly tackle the challenge of limited scientific funding, Our NFT-based approach is revolutionizing the research funding landscape, We have a passionate and experienced team with proven expertise in blockchain, finance, and scientific research",,,,,,,,,,,,,,,,,2026/5/10,2026/5/10
